species,year,month,day,decimalLatitude,decimalLongitude,locality,quality_grade,source,photo_url
Phalacrocorax carbo,0,1,0,22.4706792827,114.006167845,香港 香港ウェートランド・パーク,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/141367445/medium.jpg
Ardeola bacchus,0,1,0,22.4706792827,114.006167845,香港 香港ウェートランド・パーク,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/42885489/medium.jpg
Anas platyrhynchos,0,1,0,22.5773115405,114.1016951921,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/95268822/medium.jpg
Halcyon smyrnensis,0,1,0,22.5059360777,114.1106450562,"Kwu Tung, Hong Kong",research,iNaturalist,https://static.inaturalist.org/photos/294107276/medium.jpeg
Emberiza spodocephala,0,1,0,22.5061472856,114.0917903889,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/202678941/medium.jpg
Zosterops simplex,0,1,0,22.552644415,114.0221281876,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/20010236/medium.jpg
Motacilla cinerea,0,1,0,22.464500577,114.0713322478,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/849468/medium.jpg
Ardea cinerea,2026,1,23,22.4910422886,114.0361513942,香港米埔,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/73516715/medium.jpg
Phalacrocorax carbo,2026,1,23,22.4909112538,114.0301010013,香港米埔F2RM+55,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/141367445/medium.jpg
Milvus migrans,2026,1,23,22.4873258704,114.0384299308,香港米埔F2QQ+4F,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/158802479/medium.jpg
Aythya baeri,2026,1,4,22.5008011516,114.0192870488,,research,iNaturalist,https://static.inaturalist.org/photos/237850270/medium.jpg
Cyornis whitei,2026,1,25,22.4613561106,114.2755650878,,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/180463578/medium.jpg
Pluvialis squatarola,2026,1,21,22.5052896473,114.110166952,香港古洞振興臺D座,research,iNaturalist,https://static.inaturalist.org/photos/10603462/medium.jpg
Tringa nebularia,2026,1,21,22.5052896473,114.110166952,香港古洞振興臺D座,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/52660452/medium.jpg
Anas acuta,2026,1,21,22.5052896473,114.110166952,香港古洞振興臺D座,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/43984369/medium.jpg
Tringa nebularia,2026,1,21,22.5052896473,114.110166952,香港古洞振興臺D座,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/52660452/medium.jpg
Treron curvirostra,0,1,0,22.6394547135,114.2403335288,中国广东省深圳市龙岗区,research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/249951415/medium.jpeg
Anas acuta,0,1,0,22.4926599846,114.0340257031,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/43984369/medium.jpg
Anas zonorhyncha,0,1,0,22.4910738876,114.0328241507,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/28097563/medium.jpg
Pandion haliaetus,0,1,0,22.4864742758,114.0357853094,"Mai Po, Hong Kong",research,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/6903515/medium.jpg
